0,1,2,3,4,5,6,7,8
0.882800243,0.460935634,0.999234442,1.682939585,2.900992162,1.897975546,-0.136654779,0.959534389,0.516566245
-0.063448901,1.12117396,-0.754952236,0.359956341,1.263706773,0.011458422,-0.029062197,0.168252604,0.583445175
-0.321883177,-0.461577727,-0.551849984,0.401031674,1.349539003,0.543475851,0.163443631,-0.171178334,-0.52806474
0.400208459,0.450881703,0.38101672,0.176116919,1.018658953,0.278584966,-0.491957928,-0.200962146,-0.407384901
-0.606894064,0.202562502,-0.486589952,-0.285396347,0.94081777,0.281927032,0.166717227,0.328097181,-0.67540529
-0.000522616,0.957671965,0.636202448,0.952965991,4.648043772,1.396375689,-0.130120616,1.352849702,0.222245281
-0.452724951,-0.235911781,-0.512868421,-0.406288643,0.247076373,-0.124222764,-0.705881751,-0.284038776,-0.217851707
-0.857749464,-0.762852845,-0.787126361,-0.086204988,0.122995022,-0.161459879,-0.389250324,-0.431446925,-0.518751846
-0.594597941,-0.577335125,-0.195391349,-0.05524137,1.274923608,0.795760923,-0.743735247,-0.233440606,0.240832048
0.038112307,0.070767519,-0.564872426,0.266293715,0.516798236,-0.044894348,0.466457081,0.384306546,-0.247786054
0.249105738,0.316865947,1.154516893,3.255614844,8.223682279,2.92907388,1.975756407,1.494554722,0.388241147
2.17306724,2.749639859,1.733909858,-0.065761697,5.321265842,3.352760393,-0.731286793,2.644031745,2.10285001
0.288651814,1.174834743,0.1397266,-0.095383594,1.484961423,-0.012128627,-0.351955676,0.915569083,0.1670867
-0.453060668,-0.048555158,-0.453263814,0.253358425,0.501759164,-0.43451341,-0.438669658,-0.608357608,-0.686747113
0.24707418,0.621642609,0.983052284,0.359192207,2.692799445,0.483356153,2.402160886,1.954144239,0.030644548
-0.260159592,0.286923092,0.527141916,0.532756054,2.690159237,2.515090749,0.444150607,0.698566403,-0.006591333
0.212278747,-0.595417314,-0.364263491,-0.186789469,0.558320578,0.5090896,-0.611314577,-0.015551466,-0.462599399
1.813520508,0.767140284,2.711150454,3.694653994,5.099081863,2.197737029,0.688031815,1.760728411,2.111701906
0.39607793,-0.059123782,0.347420375,0.351939561,1.078889675,0.322189045,-0.536840132,-0.1718288,-0.253558524
0.731552307,1.254778717,-0.357971521,0.796892398,2.674844658,0.909607685,0.344306312,1.283388799,0.457151401
-0.329330386,1.597822118,-0.005547653,-0.183693867,1.691778705,1.510283945,0.30276994,0.890335041,0.954995671
0.031974955,0.626278801,-0.21002493,-0.523977265,0.563581219,0.30174507,-0.470497884,-0.151608791,-0.073389767
1.895207103,0.612009687,-0.769186477,0.70246363,5.965748108,3.45521993,-0.038897114,4.418910641,1.766910779
